,ind1,ind2,values
201,11,22,0.288376474
202,12,22,0
203,13,22,0.406978208
204,14,22,0.406978745
205,15,22,0.40697885
206,16,22,0
207,17,22,0
208,18,22,0
209,19,22,0.089041881
210,20,22,0
211,1,23,0.138791777
212,2,23,0.097119904
213,3,23,0.119683678
214,4,23,0.069198378
215,5,23,0.113567573
216,6,23,0.183435896
217,7,23,0.114211797
218,8,23,0.068893597
219,9,23,0.06886694
220,10,23,0.112653813
221,11,23,0.097075669
222,12,23,0
223,13,23,0.137623149
224,14,23,0.137624907
225,15,23,0.137624743
226,16,23,0.079959447
227,17,23,0.13065412
228,18,23,0.097119904
229,19,23,0.224024015
230,20,23,0
231,21,23,0.137624334
232,1,24,0
233,2,24,0
234,3,24,0.2313616
235,4,24,0
236,5,24,0.328822417
237,6,24,0
238,7,24,0.183146836
239,8,24,0
240,9,24,0
241,10,24,0.180689712
242,11,24,0.311809099
243,12,24,0
244,13,24,0.221090296
245,14,24,0.220787492
246,15,24,0.220835379
247,16,24,0
248,17,24,0
249,18,24,0
250,19,24,0.174840748
251,20,24,0
252,21,24,0.220941181
253,22,24,0.074375044
254,1,25,0
255,2,25,0
256,3,25,0.167006414
257,4,25,0
258,5,25,0.238127988
259,6,25,0
260,7,25,0.239046602
261,8,25,0
262,9,25,0
263,10,25,0.23583952
264,11,25,0.406978944
265,12,25,0
266,13,25,0.288571102
267,14,25,0.288175877
268,15,25,0.28823838
269,16,25,0
270,17,25,0
271,18,25,0
272,19,25,0.125662714
273,20,25,0
274,21,25,0.288376474
275,22,25,0.097075669
276,23,25,0.311809099
277,1,26,0
278,2,26,0
279,3,26,0
280,4,26,0
281,5,26,0
282,6,26,0
283,7,26,0
284,8,26,0.288149135
285,9,26,0.28826001
286,10,26,0
287,11,26,0
288,12,26,0.406978944
289,13,26,0
290,14,26,0
291,15,26,0
292,16,26,0
293,17,26,0
294,18,26,0
295,19,26,0
296,20,26,0
297,21,26,0
298,22,26,0
299,23,26,0
300,24,26,0
301,1,27,0
302,2,27,0
303,3,27,0.167006414
304,4,27,0
305,5,27,0.238127988
306,6,27,0
307,7,27,0.239046602
308,8,27,0
309,9,27,0
310,10,27,0.23583952
311,11,27,0.406978944
312,12,27,0
313,13,27,0.288571102
314,14,27,0.288175877
315,15,27,0.28823838
316,16,27,0
317,17,27,0
318,18,27,0
319,19,27,0.125662714
320,20,27,0
321,21,27,0.288376474
322,22,27,0.097075669
323,23,27,0.311809099
324,24,27,0.406978944
325,25,27,0
326,1,28,0.119538489
327,2,28,0.406978944
328,3,28,0.167032914
329,4,28,0.28997437
330,5,28,0
331,6,28,0
332,7,28,0
333,8,28,0
334,9,28,0
335,10,28,0
336,11,28,0
337,12,28,0
338,13,28,0
339,14,28,0
340,15,28,0
341,16,28,0.167774787
342,17,28,0.18352534
343,18,28,0.406978944
344,19,28,0.12550202
345,20,28,0
346,21,28,0
347,22,28,0.097119904
348,23,28,0
349,24,28,0
350,25,28,0
351,26,28,0
352,1,29,0
353,2,29,0
354,3,29,0.167006414
355,4,29,0
356,5,29,0.238127988
357,6,29,0
358,7,29,0.239046602
359,8,29,0
360,9,29,0
361,10,29,0.23583952
362,11,29,0.406978944
363,12,29,0
364,13,29,0.288571102
365,14,29,0.288175877
366,15,29,0.28823838
367,16,29,0
368,17,29,0
369,18,29,0
370,19,29,0.125662714
371,20,29,0
372,21,29,0.288376474
373,22,29,0.097075669
374,23,29,0.311809099
375,24,29,0.406978944
376,25,29,0
377,26,29,0.406978944
378,27,29,0
379,1,30,0.119470733
380,2,30,0
381,3,30,0
382,4,30,0
383,5,30,0
384,6,30,0.086925155
385,7,30,0
386,8,30,0
387,9,30,0
388,10,30,0
389,11,30,0
390,12,30,0
391,13,30,0
392,14,30,0
393,15,30,0
394,16,30,0.167945638
395,17,30,0
396,18,30,0
397,19,30,0
398,20,30,0
399,21,30,0
400,22,30,0
401,23,30,0
402,24,30,0
403,25,30,0
404,26,30,0
405,27,30,0
406,28,30,0
